Inches,Ram_GB,Storage_GB,Cpu_Clock,Cpu_Tier,Gpu_Tier,SSD_Flag,HDD_Flag,Weight_kg,Screen_W,Screen_H,PPI,Company_enc_Acer,Company_enc_Apple,Company_enc_Asus,Company_enc_Dell,Company_enc_HP,Company_enc_Lenovo,Company_enc_MSI,Company_enc_Other,Company_enc_Razer,Company_enc_Samsung,Company_enc_Toshiba,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,Cpu_Brand_AMD,Cpu_Brand_Intel,Cpu_Brand_Other,Gpu_Brand_AMD,Gpu_Brand_Intel,Gpu_Brand_Nvidia,Gpu_Brand_Other,OpSys_enc_Chrome OS,OpSys_enc_Linux,OpSys_enc_No OS,OpSys_enc_Other,OpSys_enc_Windows 10,OpSys_enc_Windows 7
14.0,0.0,256.0,1.6,2,0,1,0,1.4,1920,1080,157.3505121487356,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.6,0.0,256.0,2.5,2,0,1,0,1.86,1920,1080,141.21199808219862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.6,0.0,512.0,2.8,3,3,1,0,1.8,1920,1080,141.21199808219862,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.6,0.0,500.0,2.0,1,0,0,1,1.86,1366,768,100.45466986113651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.0,32.0,1.6,1,0,1,0,1.44,1366,768,111.93520355955211,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.6,0.0,1000.0,2.5,2,0,0,1,1.9,1920,1080,141.21199808219862,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.3,0.0,1000.0,2.8,3,3,0,1,3.0,1920,1080,127.33567457123111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13.5,0.0,128.0,2.5,2,0,1,0,1.252,2256,1504,200.84255993695703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.3,0.0,256.0,1.8,3,0,1,0,1.4,1920,1080,165.6321180513006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.6,0.0,256.0,1.8,3,0,1,0,2.2,1920,1080,141.21199808219862,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.3,0.0,1128.0,2.5,2,3,1,1,2.7,1920,1080,127.33567457123111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.0,1000.0,2.0,1,0,0,1,2.1,1366,768,111.93520355955211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
